damel,时间,省,流域,河名,库水位(米),站点编号,站名,蓄水量(百万3),入库(米3/秒)
553,2023-04-11 08:00:00,湖北省,长江,小河,540.0,61914500,谭家湾,4,0
124,2023-04-11 14:00:00,湖北省,长江,红水河,112.65,61915600,红水河,31,0
127,2023-04-11 14:00:00,湖北省,长江,柳堰河,121.61,61915700,柳堰集,6,0
138,2023-04-11 14:00:00,湖北省,长江,莺河,130.74,61915980,莺河一库,63,0
158,2023-04-11 14:00:00,湖北省,长江,蛮河,137.75,61918010,三道河,54,0
171,2023-04-11 14:00:00,湖北省,长江,黑河,138.95,61919210,云台山,19,0
152,2023-04-11 08:00:00,湖北省,长江,仙居河,136.26,61919300,仙居河,10,0
158,2023-04-11 08:00:00,湖北省,长江,马家港,144.84,61919350,象河,4,0
111,2023-04-11 14:00:00,湖北省,长江,敖水,95.85,61919710,温峡口,190,0
87,2023-04-11 08:00:00,湖北省,长江,司马河,80.17,61919800,铜钱山,14,0
299,2023-04-11 08:00:00,湖北省,长江,马家河,273.6,61937600,马家河,2,0
146,2023-04-11 14:00:00,湖北省,长江,汉江,136.8,61940700,孟桥川,44,0
117,2023-04-11 14:00:00,湖北省,长江,迴龙河,107.59,61948500,回龙河,10,0
117,2023-04-11 14:00:00,湖北省,长江,西排子河,111.36,61949700,西排子河,1,0
81,2023-04-11 14:00:00,湖北省,长江,敖水,72.31,61959000,黄坡,34,0
