时间,水位,W,RWPTN,入库,出库,RSVRTP,HHRZ,HHRZTM,汛限水位,比讯限,ADDVCD站名,DRNA,FRGRD,HNNM,LGTD,LTTD,河流,站点编号,站点位置,站名,STTP,HN_NUM
2023-04-15T00:00:00.000Z,476.40,2.43,6,0.40,0.40,3,-,,480.0,-3.60,431025,,2,湘江,112.4564,25.42456,黄狮江,611K7000,郴州市临武县万水镇,万水洞,RR,1
2023-04-15T00:00:00.000Z,136.60,6.47,5,0.15,-,3,-,,140.2,-3.60,431003,,2,湘江,113.1072,26.01197,耒水,611K0502,郴州市苏仙区五里牌镇,大头垅,RR,1
2023-04-15T00:00:00.000Z,107.70,6.89,5,1.20,0.20,3,-,,111.4,-3.70,430922,,2,资水,111.7489,28.60056,碧螺港,612K1130,益阳市桃江县武潭镇,碧螺,RR,2
2023-04-15T08:00:00.000Z,97.19,,6,-,-,4,102.66,1998-10-31T16:00:00.000Z,101.0,-3.81,430725,702.0,1,沅水,111.147283,28.772799,夷望溪,61314950,常德市桃源县兴隆街乡,竹园,RR,3
2023-04-15T00:00:00.000Z,206.00,0.53,6,0.10,0.10,2,-,,210.0,-4.00,431021,4.0,2,湘江,112.771972,26.01125,舂陵水,611K0511,郴州市桂阳县雷坪镇,铁坑,RR,1
2023-04-15T08:00:00.000Z,130.86,0.363,,-,-,2,133.3,2014-05-24T16:00:00.000Z,134.86,-4.00,360322,,5,湘江,113.928056,27.728333,萍水河,611R8240,江西省萍乡市上栗县赤山镇麻田村,幸福水库,RR,1
2023-04-15T00:00:00.000Z,722.00,1.692,4,0.69,1.00,2,-,,726.0,-4.00,431003,35.0,2,湘江,113.132667,25.706667,秧溪河,611K0955,郴州市苏仙区五盖山镇,凉伞坪,RR,1
2023-04-15T00:00:00.000Z,165.11,9.11,5,2.02,0.06,3,-,,169.13,-4.02,430181,,2,湘江,113.623611,28.473333,捞刀河,611K2010,长沙市浏阳市社港镇关山水库,关山,RR,1
2023-04-15T00:00:00.000Z,59.02,3.81,5,-,-,3,-,,63.1,-4.08,430724,,2,澧水,111.7497,29.34667,沙溪河,614K0823,常德市临澧县柏枝乡,群英,RR,4
2023-04-15T00:00:00.000Z,48.79,3.59,5,0.10,-,3,-,,53.0,-4.21,430725,,2,沅水,111.4353,29.04806,白洋河,613K2224,常德市桃源县枫树维吾尔族回族乡,田河,RR,3
2023-04-15T00:00:00.000Z,86.99,357.36,5,38.00,1.00,4,93.15,1995-06-02T16:00:00.000Z,91.2,-4.21,430621,493.0,1,洞庭湖,113.506111,29.165278,新墙河,61534300,岳阳市岳阳县公田镇,铁山,RR,5
