LGTD,LTTD,站点编号,时间,站名,zr,ymdh,dyrn,z,保证水位,dwz,河名,avq,hnnm,w,detaz,unitname,damel,iymdh,fymdh,q,警戒水位,sttp,obhtztm,frgrd,obhtz
121.191667,31.466944,63205020,2023-04-17 22,娄陆,3.08,,,3.08,,,太湖流域,,浦东浦西区,,,,,,,0.000,,河道,,,
121.268874,31.504397,63205050,2023-04-17 22,浏河闸(上),3.07,,,3.07,,,太湖流域,,阳澄淀泖区,,,,7.00,,,,,闸坝,2000-09-02 00:00:00,,4.630
120.960980,31.379209,63205150,2023-04-17 22,昆山(二）,2.99,,,2.99,4.00,,太湖流域,,阳澄淀泖区,,,,6.00,,,,3.70,河道,1999-07-01 00:00:00,,4.160
120.504758,31.010252,63205311,2023-04-17 22,太浦闸,3.08/3.00,,,3.08,4.66,3.00,太湖流域,,太湖区,,,,5.50,,,130.460,3.80,闸坝,2016-07-07 12:45:00,,4.610
120.635474,30.997390,63205350,2023-04-17 22,平望,2.96,,,2.96,4.40,,太湖流域,,阳澄淀泖区,,,,5.20,,,,3.90,河道,1999-07-03 00:00:00,,4.330
120.655863,31.199560,63205400,2023-04-17 22,瓜泾口,3.01,,,3.01,,,太湖流域,,太湖区,,,,5.00,,,,,河道,1954-08-25 00:00:00,,4.620
120.133888,30.318888,63300200,2023-04-17 22,拱宸桥,3.13,,,3.13,5.00,,太湖流域,,杭嘉湖区,,,,4.01,,,,4.50,河道,1999-07-01 00:00:00,,5.651
120.192276,30.468138,63300400,2023-04-17 22,塘栖,3.06,,,3.06,4.50,,太湖流域,,杭嘉湖区,,,,4.97,,,,4.00,河道,,,
120.420775,30.521017,63300800,2023-04-17 22,崇德,2.94,,,2.94,4.10,,太湖流域,,杭嘉湖区,,,,5.40,,,,3.70,河道,1963-09-17 00:00:00,,5.051
120.700421,30.755590,63301150,2023-04-17 22,嘉兴,2.81,,,2.81,3.70,,太湖流域,,杭嘉湖区,,,,5.48,,,,3.30,河道,,,4.421
120.732600,30.755333,63301200,2023-04-17 22,嘉兴杭,2.83,,,2.83,,,太湖流域,,杭嘉湖区,,,,,,,,,河道,,,
120.701293,30.887031,63301600,2023-04-17 22,王江泾,2.84,,,2.84,3.50,,太湖流域,,杭嘉湖区,,,,4.24,,,-35.400,3.20,河道,2021-07-28 00:00:00,,4.361
119.970556,30.199167,63301831,2023-04-17 22,闲林水库,69.01,,,69.01,70.75,,太湖流域,,杭嘉湖区,,,,74.00,,,,70.00,水库,,,
120.078505,30.545861,63302300,2023-04-17 22,德清大闸下,3.01,,,3.01,,,太湖流域,,浙西区,,,,7.84,,,,,河道,2019-08-10 00:00:00,,4.721
120.122253,30.853610,63302800,2023-04-17 22,三里桥,3.04,,,3.04,4.20,,太湖流域,,杭嘉湖区,,,,6.04,,,,3.70,河道,,,
