日期,站名,时间,水位,流量
2023-03-03,金鸡（二）,02-04 08:00,27.350,28.000
2023-03-03,南宁（三）,02-04 08:00,67.050,383.000
2023-03-03,贵港,02-04 08:00,31.240,282.000
2023-03-03,石角,02-04 08:00,0.620,320.000
2023-03-03,天河(二),02-04 08:00,0.860,2360.000
2023-03-03,冯马庙(二),02-04 08:00,0.440,-
2023-03-03,大虎,02-04 08:00,0.300,-
2023-03-04,迁江,03-04 08:00,59.60,543
2023-03-04,梧州（四）,03-04 08:00,2.57,2110
2023-03-04,高要,03-04 08:00,0.23,4880
2023-03-04,柳州,03-04 08:00,77.47,165
2023-03-04,金鸡（二）,03-04 08:00,26.45,15
2023-03-04,南宁（三）,03-04 08:00,66.95,425
2023-03-04,贵港,03-04 08:00,31.20,NaN
2023-03-04,石角,03-04 08:00,0.03,361
2023-03-05,迁江,02-04 08:00,59.670,503.000
2023-03-05,武宣,02-04 08:00,51.770,1520.000
2023-03-05,大湟江口(二),02-04 08:00,20.570,1920.000
2023-03-05,梧州（四）,02-04 08:00,2.100,1820.000
2023-03-05,高要,02-04 08:00,0.570,-433.000
2023-03-05,柳州,02-04 08:00,77.000,143.000
2023-03-05,对亭,02-04 08:00,71.570,20.500
2023-03-05,太平,02-04 08:00,33.970,72.900
2023-03-05,金鸡（二）,02-04 08:00,27.350,28.000
2023-03-05,南宁（三）,02-04 08:00,67.050,383.000
2023-03-05,贵港,02-04 08:00,31.240,282.000
2023-03-05,石角,02-04 08:00,0.620,320.000
2023-03-05,天河(二),02-04 08:00,0.860,2360.000
2023-03-05,冯马庙(二),02-04 08:00,0.440,-
2023-03-05,大虎,02-04 08:00,0.300,-
2023-03-06,迁江,03-06 08:00,59.25,472
2023-03-06,梧州（四）,03-06 08:00,2.46,2030
2023-03-06,高要,03-06 08:00,0.24,4830
2023-03-06,柳州,03-06 08:00,77.74,185
2023-03-06,金鸡（二）,03-06 08:00,27.38,29
2023-03-06,南宁（三）,03-06 08:00,66.97,436
2023-03-06,贵港,03-06 08:00,31.47,405
2023-03-06,石角,03-06 08:00,0.10,365
2023-03-07,迁江,03-07 08:00,59.67,557
2023-03-07,梧州（四）,03-07 08:00,2.53,2080
2023-03-07,高要,03-07 08:00,0.30,4810
2023-03-07,柳州,03-07 08:00,77.67,198
2023-03-07,金鸡（二）,03-07 08:00,27.75,47
2023-03-07,南宁（三）,03-07 08:00,66.99,375
2023-03-07,贵港,03-07 08:00,31.46,290
2023-03-07,石角,03-07 08:00,0.18,451
